&#x106;avar, Damir
&#x110;inh, Quang Th&#x1EAF;ng
&#x130;lknur, Pehlivan
&#x141;azi&nacute;ski, Marek
&#x17D;abokrtsk&yacute;, Zden&#x11B;k
&Aacute;lvez, Javier
&Aacute;ngel
&Aring;&frac12;orga Dulmin, Maja
&Aring;&nbsp;ari&Auml;? Frane
&Atilde;?Atilde;&para;ltekin, &Atilde;?a&Auml;?r&Auml;&plusmn; Nerbonne, John
&Ccaron;e&scaron;ka, Pavel
&Oacute;
&Oslash;vrelid, Lilja
&Otilde;im, Haldur
&Ouml;gel Balaban, Hale
&Ouml;zertem, Umut
&Ouml;zg&uuml;r, Arzucan
&Sacute;ledzi&nacute;ski, Daniel
&Scaron;kodov&aacute;, Svatava
&Scaron;najder, Jan
&Scaron;tep&aacute;nek, Jan
&Scaron;tindlov&aacute;, Barbora
&Scaron;vec, Jan
&Scedil;tef&#x103;nescu, Dan
, Budiono
, Mausam
, QuocHung-Ngo
, Suryaganesh
, The Annotation Group
, The LOLITA Group
, The PLUM Research Group
, Xu&#x1EA9;n L&#x1B0;&#x1A1;ng V&#x169;
, Xu&#x1EA9;n L&#x1B0;&#x1A1;ng V&#x169; Thi Minh Huy&#x1EC1;n, Nguy&#x1EC5;n
, lemao
A.
A. R.
A. R., Balamurali
AI-Adhaileh, Mosleh Hmoud
AL Saud, Lama
ASBAYOU, Omar
Aabloo, Alvo
Aakhus, Mark
Aarseth, Paul
Abad, Alberto
Abaitua, Joseba
Abascal, Julio G.
Abate, Solomon Teferra
Abb, Bernd
Abbes, Ramzi
Abbott, Rob
Abd El-Wahab, Mohamed
Abdalla, Rashid M.
AbdelRahman, Samir
Abdelali, Ahmed
Abdelnasser, Heba
Abdul Hamid, Ahmed
Abdul Kadir, Rabiah
Abdul, Mujibur
Abdul-Mageed, Muhammad
Abdul-Rauf, Sadaf
Abdul-Wahab, Mohamed
Abe, Akinori
Abe, Masahiro
Abe, Naoki
Abe, Norihiro
Abe, Shuya
Abe, Yasunori
Abe, Yoshiharu
Abeel, Thomas
Abeille, Anne
Abekawa, Takeshi
Abel, Andrea
Abella, Alicia
Abend, Omri
Aberdeen, John
Abeysinghe, Geetha
Abney, Steven
Abolhassani, Hassan
Abouenour, Lahsen
Aboutajdine, Driss
Abouzakhar, Nasser
Abowd, Gregory
Abracos, Jose
Abraham, Maryvonne
Abrahamsson, Emil
Abramowicz, Witold
Abramson, Martha
Abrash, Victor
Abreu, Jose I.
Abreu, José I.
Abrusci, V. Michele
Abu-Jbara, Amjad
Abu-Salem, Hani
Abuhakema, Ghazi
Abuleil, Saleem
Acarturk, Cengiz
Aceda&nacute;ski, Szymon
Acero, Alex
Achanauparp, Palakorn
Acharya, Sudipta
Achour, Hadhemi
Ackerman, Christopher
Ackermans, Paul
Acomb, Kate
Acosta, Olga
Acosta, Otavio
Acquaah-Mensah, George
Acree, Brice D. L.
Acs, Judit
Adachi, Fumihiro
Adachi, Hisahiro
Adali, Esref
Adali, Kübra
Adalı, Eşref
Adam, Carole
Adam, Cl&eacute;mentine
Adam, Clémentine
Adams, Brian
Adams, Gary
Adams, Jeff
Adams, Keith
Adams, Maria
Adams, Oliver
Adams, Rod
Adamson, David
Adcock, John E.
Adda, Gilles
Adda-Decker, Martine
Addanki, Karteek
Adderley, Richard
Addison, Edwin
Adel, Heike
Adell, Jordi
